848.25592,-153.543396,1039.95593
848.256592,-153.52739,1039.95642
848.257263,-153.511215,1039.95667
848.257935,-153.494904,1039.95703
848.258606,-153.476364,1039.95752
848.25946,-153.459717,1039.95789
848.260193,-153.440811,1039.95825
848.261,-153.423828,1039.95862
848.261597,-153.406708,1039.95898
848.26239,-153.38942,1039.95947
848.263306,-153.367599,1039.95984
848.264038,-153.347763,1039.96021
848.264771,-153.327713,1039.96069
848.265747,-153.309738,1039.96118
848.266479,-153.289337,1039.96155
848.267334,-153.271027,1039.96191
848.268,-153.252579,1039.96228
848.26886,-153.233963,1039.96277
848.269653,-153.21048,1039.96313
848.270508,-153.191513,1039.96362
848.271545,-153.167603,1039.96411
848.2724,-153.1483,1039.9646
848.273315,-153.123947,1039.96497
848.274109,-153.104294,1039.96545
848.274963,-153.084488,1039.96582
848.275757,-153.064529,1039.96631
848.276672,-153.041885,1039.9668
848.277649,-153.021606,1039.96729
848.278442,-153.00116,1039.96765
848.279236,-152.98056,1039.96814
848.28009,-152.959808,1039.96851
848.280823,-152.941528,1039.96899
848.281677,-152.917847,1039.96936
848.282654,-152.896637,1039.97
848.283508,-152.875275,1039.97034
848.284424,-152.85376,1039.97083
848.285278,-152.829361,1039.97131
848.286316,-152.807526,1039.9718
848.28717,-152.788284,1039.97217
848.288086,-152.763367,1039.97278
848.289,-152.738251,1039.97327
848.290039,-152.715775,1039.97375
848.291077,-152.690308,1039.97424
848.292,-152.667496,1039.97473
848.292908,-152.644531,1039.97522
848.293945,-152.621414,1039.97571
848.2948,-152.601074,1039.97607
848.295715,-152.574722,1039.97668
848.296814,-152.548203,1039.97717
848.297913,-152.524445,1039.97778
848.298828,-152.494553,1039.97839
848.300049,-152.470444,1039.979
848.301147,-152.440109,1039.97949
848.302307,-152.41568,1039.98
848.303162,-152.394165,1039.98047
848.304138,-152.369431,1039.98108
848.305237,-152.338318,1039.98157
848.306396,-152.313232,1039.9823
848.307556,-152.281677,1039.98279
848.308655,-152.256256,1039.9834
848.309692,-152.227478,1039.98389
848.31073,-152.204971,1039.98438
848.311768,-152.175842,1039.98499
848.312927,-152.149796,1039.9856
848.313965,-152.1203,1039.98621
848.315125,-152.093918,1039.98669
848.316101,-152.067383,1039.98718
848.317261,-152.04071,1039.98792
848.318481,-152.007126,1039.98853
848.319641,-151.973328,1039.98926
848.320862,-151.946106,1039.98975
848.322083,-151.918732,1039.99036
848.323181,-151.887741,1039.99097
848.32428,-151.860046,1039.99146
848.325378,-151.832199,1039.99207
848.326599,-151.804184,1039.99268
848.327698,-151.772491,1039.99329
848.328857,-151.744171,1039.99377
848.329834,-151.715683,1039.99438
848.331055,-151.687042,1039.995
