count,loop start,loop end,loop end -loop start,next start-curr start,next end -curr end,,,,Average,,
87,1618926113,1618926113,0.034909964,0.034909964,0.049390078,,,,,,
88,1618926113,1618926113,0.049390078,0.049390078,0.034909964,,,,,,
89,1618926113,1618926113,0.034909964,0.034909964,0.03606987,,,,,,
90,1618926113,1618926113,0.03606987,0.03606987,0.034909964,,,,,,
91,1618926113,1618926113,0.034909964,0.034909964,0.034900188,,,,,,
92,1618926113,1618926113,0.034900188,0.034900188,0.035429955,,,,,,
93,1618926113,1618926113,0.035429955,0.035429955,0.048869848,,,,,,
94,1618926113,1618926113,0.048869848,0.048869848,0.045870066,,,,,,
95,1618926113,1618926113,0.045870066,0.045870066,0.037899971,,,,,,
96,1618926113,1618926113,0.037899971,0.037899971,0.034909964,,,,,,
97,1618926113,1618926113,0.034909964,0.034909964,0.036900043,,,,,,
98,1618926113,1618926113,0.036900043,0.036900043,0.036900043,,,,,,
99,1618926113,1618926113,0.036900043,0.036900043,0.038909912,,,,,,
100,1618926113,1618926113,0.038909912,0.038909912,0.048870087,,,,,,
101,1618926113,1618926113,0.048870087,0.048870087,0.033910036,,,,,,
102,1618926113,1618926113,0.033910036,0.033910036,0.033910036,,,,,,
103,1618926113,1618926113,0.033910036,0.033910036,0.034909964,,,,,,
104,1618926113,1618926113,0.034909964,0.034909964,0.033910036,,,,,,
105,1618926113,1618926113,0.033910036,0.033910036,0.036900043,,,,,,
106,1618926113,1618926114,0.036900043,0.036900043,0.052859783,,,,,,
107,1618926114,1618926114,0.052859783,0.052859783,0.033910036,,,,,,
108,1618926114,1618926114,0.033910036,0.033910036,0.034900188,,,,,,
109,1618926114,1618926114,0.034900188,0.034900188,0.036899805,,,,,,
110,1618926114,1618926114,0.036899805,0.036899805,0.033910036,,,,,,
111,1618926114,1618926114,0.033910036,0.033910036,0.036910057,,,,,,
112,1618926114,1618926114,0.036910057,0.036910057,0.03489995,,,,,,
113,1618926114,1618926114,0.03489995,0.03489995,0.046869993,,,,,,
114,1618926114,1618926114,0.046869993,0.046869993,0.047879934,,,,,,
115,1618926114,1618926114,0.047879934,0.047879934,0.040280104,,,,,,
116,1618926114,1618926114,0.040280104,0.040280104,0.034909964,,,,,,
117,1618926114,1618926114,0.034909964,0.034909964,0.036900043,,,,,,
118,1618926114,1618926114,0.036900043,0.036900043,0.033910036,,,,,,
119,1618926114,1618926114,0.033910036,0.033910036,0.044879913,,,,,,
120,1618926114,1618926114,0.044879913,0.044879913,0.037899971,,,,,,
121,1618926114,1618926114,0.037899971,0.037899971,0.039510012,,,,,,
122,1618926114,1618926114,0.039510012,0.039510012,0.036900043,,,,,,
123,1618926114,1618926114,0.036900043,0.036900043,0.034909964,,,,,,
124,1618926114,1618926114,0.034909964,0.034909964,0.036900043,,,,,,
125,1618926114,1618926114,0.036900043,0.036900043,0.032910109,,,,,,
126,1618926114,1618926114,0.032910109,0.032910109,0.041889906,,,,,,
127,1618926114,1618926114,0.041889906,0.041889906,0.048870087,,,,,,
128,1618926114,1618926114,0.048870087,0.048870087,0.03876996,,,,,,
129,1618926114,1618926114,0.03876996,0.03876996,0.038889885,,,,,,
130,1618926114,1618926114,0.038889885,0.038889885,0.041890144,,,,,,
131,1618926114,1618926115,0.041890144,0.041890144,0.035379887,,,,,,
132,1618926115,1618926115,0.035379887,0.035379887,0.04689002,,,,,,
133,1618926115,1618926115,0.04689002,0.04689002,0.031889915,,,,,,
134,1618926115,1618926115,0.031889915,0.031889915,0.03591013,,,,,,
135,1618926115,1618926115,0.03591013,0.03591013,0.037899971,,,,,,
136,1618926115,1618926115,0.037899971,0.037899971,0.033910036,,,,,,
137,1618926115,1618926115,0.033910036,0.033910036,0.035899878,,,,,,
138,1618926115,1618926115,0.035899878,0.035899878,0.036900043,,,,,,
139,1618926115,1618926115,0.036900043,0.036900043,0.045880079,,,,,,
140,1618926115,1618926115,0.045880079,0.045880079,0.045870066,,,,,,
141,1618926115,1618926115,0.045870066,0.045870066,0.036909819,,,,,,
142,1618926115,1618926115,0.036909819,0.036909819,0.037890196,,,,,,
143,1618926115,1618926115,0.037890196,0.037890196,0.034909964,,,,,,
144,1618926115,1618926115,0.034909964,0.034909964,0.036899805,,,,,,
145,1618926115,1618926115,0.036899805,0.036899805,0.044880152,,,,,,
146,1618926115,1618926115,0.044880152,0.044880152,0.039890051,,,,,,
147,1618926115,1618926115,0.039890051,0.039890051,0.128659964,,,,,,
148,1618926115,1618926115,0.128659964,0.128659964,0.333109856,,,,,,
149,1618926115,1618926116,0.333109856,0.333109856,0.273830175,,,,,,
150,1618926116,1618926116,0.273830175,0.273830175,0.082569838,,,,,,
151,1618926116,1618926116,0.082569838,0.082569838,0.036900043,,,,,,
152,1618926116,1618926116,0.036900043,0.036900043,0.033910036,,,,,,
153,1618926116,1618926116,0.033910036,0.033910036,0.03489995,,,,,,
154,1618926116,1618926116,0.03489995,0.03489995,0.044880152,,,,,,
155,1618926116,1618926116,0.044880152,0.044880152,0.035909891,,,,,,
156,1618926116,1618926116,0.035909891,0.035909891,0.039890051,,,,,,
157,1618926116,1618926116,0.039890051,0.039890051,0.034909964,,,,,,
158,1618926116,1618926116,0.034909964,0.034909964,0.036900043,,,,,,
159,1618926116,1618926116,0.036900043,0.036900043,0.036900043,,,,,,
160,1618926116,1618926116,0.036900043,0.036900043,0.038899899,,,,,,
161,1618926116,1618926116,0.038899899,0.038899899,0.046869993,,,,,,
162,1618926116,1618926116,0.046869993,0.046869993,0.035900116,,,,,,
163,1618926116,1618926116,0.035900116,0.035900116,0.034909964,,,,,,
164,1618926116,1618926116,0.034909964,0.034909964,0.035909891,,,,,,
165,1618926116,1618926116,0.035909891,0.035909891,0.035900116,,,,,,
166,1618926116,1618926117,0.035900116,0.035900116,0.034909964,,,,,,
167,1618926117,1618926117,0.034909964,0.034909964,0.045870066,,,,,,
168,1618926117,1618926117,0.045870066,0.045870066,0.04189992,,,,,,
169,1618926117,1618926117,0.04189992,0.04189992,0.033910036,,,,,,
170,1618926117,1618926117,0.033910036,0.033910036,0.035899878,,,,,,
171,1618926117,1618926117,0.035899878,0.035899878,0.039900064,,,,,,
172,1618926117,1618926117,0.039900064,0.039900064,0.033910036,,,,,,
173,1618926117,1618926117,0.033910036,0.033910036,0.040889978,,,,,,
174,1618926117,1618926117,0.040889978,0.040889978,0.049870014,,,,,,
175,1618926117,1618926117,0.049870014,0.049870014,0.036900043,,,,,,
176,1618926117,1618926117,0.036900043,0.036900043,0.041889906,,,,,,
177,1618926117,1618926117,0.041889906,0.041889906,0.037889957,,,,,,
178,1618926117,1618926117,0.037889957,0.037889957,0.033910036,,,,,,
179,1618926117,1618926117,0.033910036,0.033910036,0.038759947,,,,,,
180,1618926117,1618926117,0.038759947,0.038759947,0.045880079,,,,,,
181,1618926117,1618926117,0.045880079,0.045880079,0.033910036,,,,,,
182,1618926117,1618926117,0.033910036,0.033910036,0.033529997,,,,,,
183,1618926117,1618926117,0.033529997,0.033529997,0.03489995,,,,,,
184,1618926117,1618926117,0.03489995,0.03489995,0.034909964,,,,,,
185,1618926117,1618926117,0.034909964,0.034909964,0.037899971,,,,,,
186,1618926117,1618926117,0.037899971,0.037899971,0.043879986,,,,,,
187,1618926117,1618926117,0.043879986,0.043879986,0.051860094,,,,,,
188,1618926117,1618926117,0.051860094,0.051860094,0.035909891,,,,,,
189,1618926117,1618926117,0.035909891,0.035909891,0.035900116,,,,,,
190,1618926117,1618926117,0.035900116,0.035900116,0.03779006,,,,,,
191,1618926117,1618926117,0.03779006,0.03779006,0.035899878,,,,,,
192,1618926117,1618926118,0.035899878,0.035899878,0.035900116,,,,,,
193,1618926118,1618926118,0.035900116,0.035900116,0.054859877,,,,,,
194,1618926118,1618926118,0.054859877,0.054859877,0.032910109,,,,,,
195,1618926118,1618926118,0.032910109,0.032910109,0.033910036,,,,,,
196,1618926118,1618926118,0.033910036,0.033910036,0.033910036,,,,,,
197,1618926118,1618926118,0.033910036,0.033910036,0.038899899,,,,,,
198,1618926118,1618926118,0.038899899,0.038899899,0.035899878,,,,,,
199,1618926118,1618926118,0.035899878,0.035899878,0.042890072,,,,,,
200,1618926118,1618926118,0.042890072,0.042890072,0.041880131,,,,,,
201,1618926118,1618926118,0.041880131,0.041880131,0.033909798,,,,,,
202,1618926118,1618926118,0.033909798,0.033909798,0.03591013,,,,,,
203,1618926118,1618926118,0.03591013,0.03591013,0.033900023,,,,,,
204,1618926118,1618926118,0.033900023,0.033900023,0.036910057,,,,,,
205,1618926118,1618926118,0.036910057,0.036910057,0.03489995,,,,,,
206,1618926118,1618926118,0.03489995,0.03489995,0.045879841,,,,,,
207,1618926118,1618926118,0.045879841,0.045879841,0.048870087,,,,,,
208,1618926118,1618926118,0.048870087,0.048870087,0.037899971,,,,,,
209,1618926118,1618926118,0.037899971,0.037899971,0.035900116,,,,,,
210,1618926118,1618926118,0.035900116,0.035900116,0.036900043,,,,,,
211,1618926118,1618926118,0.036900043,0.036900043,0.035909891,,,,,,
212,1618926118,1618926118,0.035909891,0.035909891,0.038899899,,,,,,
213,1618926118,1618926118,0.038899899,0.038899899,0.039890051,,,,,,
214,1618926118,1618926118,0.039890051,0.039890051,0.036900043,,,,,,
215,1618926118,1618926118,0.036900043,0.036900043,0.039890051,,,,,,
216,1618926118,1618926118,0.039890051,0.039890051,0.037410021,,,,,,
217,1618926118,1618926118,0.037410021,0.037410021,0.036900043,,,,,,
218,1618926118,1618926119,0.036900043,0.036900043,0.036899805,,,,,,
219,1618926119,1618926119,0.036899805,0.036899805,0.046880007,,,,,,
220,1618926119,1618926119,0.046880007,0.046880007,0.032910109,,,,,,
221,1618926119,1618926119,0.032910109,0.032910109,0.035510063,,,,,,
222,1618926119,1618926119,0.035510063,0.035510063,0.039899826,,,,,,
223,1618926119,1618926119,0.039899826,0.039899826,0.034910202,,,,,,
224,1618926119,1618926119,0.034910202,0.034910202,0.03290987,,,,,,
225,1618926119,1618926119,0.03290987,0.03290987,0.03591013,,,,,,
226,1618926119,1618926119,0.03591013,0.03591013,0.041879892,,,,,,
227,1618926119,1618926119,0.041879892,0.041879892,0.04489994,,,,,,
228,1618926119,1618926119,0.04489994,0.04489994,0.034909964,,,,,,
229,1618926119,1618926119,0.034909964,0.034909964,0.036530018,,,,,,
230,1618926119,1618926119,0.036530018,0.036530018,0.035900116,,,,,,
231,1618926119,1618926119,0.035900116,0.035900116,0.034909964,,,,,,
232,1618926119,1618926119,0.034909964,0.034909964,0.0457201,,,,,,
233,1618926119,1618926119,0.0457201,0.0457201,0.037899971,,,,,,
234,1618926119,1618926119,0.037899971,0.037899971,0.036899805,,,,,,
235,1618926119,1618926119,0.036899805,0.036899805,0.037900209,,,,,,
236,1618926119,1618926119,0.037900209,0.037900209,0.035899878,,,,,,
237,1618926119,1618926119,0.035899878,0.035899878,0.035900116,,,,,,
238,1618926119,1618926119,0.035900116,0.035900116,0.036909819,,,,,,
239,1618926119,1618926119,0.036909819,0.036909819,0.041880131,,,,,,
240,1618926119,1618926119,0.041880131,0.041880131,0.054859877,,,,,,
241,1618926119,1618926119,0.054859877,0.054859877,0.034900188,,,,,,
242,1618926119,1618926119,0.034900188,0.034900188,0.034909964,,,,,,
243,1618926119,1618926119,0.034909964,0.034909964,0.035899878,,,,,,
244,1618926119,1618926120,0.035899878,0.035899878,0.037909985,,,,,,
245,1618926120,1618926120,0.037909985,0.037909985,0.05185008,,,,,,
246,1618926120,1618926120,0.05185008,0.05185008,0.036900043,,,,,,
247,1618926120,1618926120,0.036900043,0.036900043,0.034970045,,,,,,
248,1618926120,1618926120,0.034970045,0.034970045,0.035919905,,,,,,
249,1618926120,1618926120,0.035919905,0.035919905,0.033900023,,,,,,
250,1618926120,1618926120,0.033900023,0.033900023,0.03489995,,,,,,
251,1618926120,1618926120,0.03489995,0.03489995,0.032910109,,,,,,
252,1618926120,1618926120,0.032910109,0.032910109,0.042889833,,,,,,
253,1618926120,1618926120,0.042889833,0.042889833,0.043879986,,,,,,
254,1618926120,1618926120,0.043879986,0.043879986,0.033910036,,,,,,
255,1618926120,1618926120,0.033910036,0.033910036,0.033910036,,,,,,
256,1618926120,1618926120,0.033910036,0.033910036,0.037899971,,,,,,
257,1618926120,1618926120,0.037899971,0.037899971,0.038890123,,,,,,
258,1618926120,1618926120,0.038890123,0.038890123,0.040899992,,,,,,
259,1618926120,1618926120,0.040899992,0.040899992,0.054849863,,,,,,
260,1618926120,1618926120,0.054849863,0.054849863,0.046869993,,,,,,
261,1618926120,1618926120,0.046869993,0.046869993,0.047880173,,,,,,
262,1618926120,1618926120,0.047880173,0.047880173,0.040740013,,,,,,
263,1618926120,1618926120,0.040740013,0.040740013,0.038899899,,,,,,
264,1618926120,1618926120,0.038899899,0.038899899,0.043879986,,,,,,
265,1618926120,1618926120,0.043879986,0.043879986,0.049870014,,,,,,
266,1618926120,1618926120,0.049870014,0.049870014,0.044879913,,,,,,
267,1618926120,1618926120,0.044879913,0.044879913,0.03670001,,,,,,
268,1618926120,1618926120,0.03670001,0.03670001,0.032910109,,,,,,
269,1618926120,1618926121,0.032910109,0.032910109,0.03290987,,,,,,
270,1618926121,1618926121,0.03290987,0.03290987,0.043690205,,,,,,
271,1618926121,1618926121,0.043690205,0.043690205,0.034909964,,,,,,
272,1618926121,1618926121,0.034909964,0.034909964,0.03290987,,,,,,
273,1618926121,1618926121,0.03290987,0.03290987,0.033910036,,,,,,
274,1618926121,1618926121,0.033910036,0.033910036,0.033910036,,,,,,
275,1618926121,1618926121,0.033910036,0.033910036,0.036410093,,,,,,
276,1618926121,1618926121,0.036410093,0.036410093,0.037899971,,,,,,
277,1618926121,1618926121,0.037899971,0.037899971,0.046880007,,,,,,
278,1618926121,1618926121,0.046880007,0.046880007,0.044879913,,,,,,
279,1618926121,1618926121,0.044879913,0.044879913,0.037909985,,,,,,
280,1618926121,1618926121,0.037909985,0.037909985,0.03689003,,,,,,
281,1618926121,1618926121,0.03689003,0.03689003,0.034919977,,,,,,
282,1618926121,1618926121,0.034919977,0.034919977,0.035900116,,,,,,
283,1618926121,1618926121,0.035900116,0.035900116,0.041889906,,,,,,
284,1618926121,1618926121,0.041889906,0.041889906,0.040889978,,,,,,
